"Freundinnen","girl friend","女朋友"
"anfangen","to start, to begin","開始"
"begleiten","to accompany","陪"
"(nach Haus) bringen","to walk somebody home","帶(回家)"
"das Büro, -s","office","辦公室"
"dürfen","may","可以"
"endlich","at last","終於"
"der Film, -e","film,movie","電影"
"das Fräulein, -","Miss","小姐"
"sich freuen","pleased to meet you","高興"
"freundlich","friendly","友善的"
"gar nicht","not at all","毫不，一點也不"
"geduldig","patient","耐心的"
"der Hauptfilm, -e","feature film","主片"
"heimgehen","to go home","回家"
"höflich","polite,politely","有禮的，客氣的"
"die Kasse, -n","box office","售票處"
"kennenlernen","to get to know","認識"
"lächeln","to smile","微笑"
"lachen","to laugh","笑"
"laufen","on (What film is on at ...)","放映"
"das Mädchen, -","girl","女孩"
"neulich","a short time ago","最近，前不久"
"nochmal(s)(noch einmal)","again","再度"
"sicher","sure,surely","一定"
"stören","to disturb","打擾"
"die Überraschung, -en","surprise","驚喜，意外"
"sich unterhalten","to talk,to converse","聊天"
"unterwegs","on the way","途中"
"sich verabreden","to make a date, appointment","約會"
"sich verabschieden","to say goodbye","道別"
"sich verspäten","to be (come) too late","遲到"
"vorstellen","to introduce","介紹"
"warum","why","為什麼？"
"ein wenig","a bit","一點兒"
"wirklich","really","真的，實在"
"die Wochenschau, -en","newsreel","新聞片"
"alles Gute!","all the best!","一切如意"
"besonders","specially","尤其"
"die Fortbewegung","movement","動作"
"gleich","same","同樣的"
"krank","ill","生病的"
"laut","loud","大聲的"
"leiden","to suffer","受苦"
"lügen","to lie","說謊"
"das Partizip, -ien","participle","分詞"
"das Perfekt","perfect tense","完成式"
"sich rasieren","to shave","刮鬍子"
"das Reflexivpronomen, -","reflexive pronoun","返身代名詞"
"der Stammvokal, -e","stem vowel","字幹母音"
"stehlen","to steal","偷"
"abtrocknen","to dry","擦輸"
"anziehen","to get dressed","穿衣"
"der Anzug, ""-e","suit","衣牚"
"ausmachen (das Licht)","to switch off (the light)","熄(燈)"
"brauchen","to need, to require","需㽌"
"die Buuuu2rste, -n","brush","刷子"
"einfach","easy, simple","簡單"
"einschlafen","to go to sleep","入睡"
"elektrisch","electric, electrical","電氣的"
"etwas","a bit","一些"
"sich frisieren","to comb one's hair","理髮"
"das Haar, -e","hair","頭髮"
"das Haarwasser, ""-","hair tonic","潤髮水"
"das Handtuch, ""er","towel","毛巾"
"der Kamm ""-e","comb","梳子"
"sich kämmen","to comb","梳頭"
"der Kleiderbügel, -","coat hanger","衣架子"
"klopfen","to knock","敲"
"putzen (Zähne)","to brush (teeth)","刷(牙)"
"putzen (Schuhe)","to clean (shoew)","刷(鞋)"
"der Rasierapparat, -e","electric razor","電鬍刀"
"der Schlafanzug, ""-e","pyjamas","睡衣"
"der Schuh, -e","shoe","鞋"
"die Seife, -n","soap","肥皂"
"springen","to jump","跳"
"die Steckdose, -n","socket","插座"
"der Stecker, -","plug","插頭"
"tagsüber","during the day","白天裡"
"die Tube, -n","tube","管子"
"das Wasser","water","水"
"wecken","to wake (up)","喚醒"
"der Zahn, ""e","tooth","牙"
"die Zahnbürste, -n","toothbrush","牙刷"
"die Zahnpaste","toothpaste","牙膏"
