"der Besitzer, -", "owener","物主"
"der Taschendieb","The Pickpocket","扒手"
"da","then","當時"
"denken","to wonder","想"
"der Dieb, -e","thief","賊"
"dunkel","dark","暗的"
"die Eile","hurry, rush","匆忙"
"eilig","in a hurry","匆忙的"
"die Entschuldigung, -en","excuse","抱歉"
"erschrecken","to be frightened","受驚嚇"
"fassen","to grab","抓"
"fort","posted, dispatched","離開"
"greifen","to put one's hand into one's ...","伸手抓"
"hell","light","明亮"
"ja = in Wirklichkeit","in reality","實在"
"die Jacke, -n","jacket","短外套"
"klingen","to sound","響"
"leer","empty","空的"
"leicht","easy, easily","容易"
"das Licht, -er","light","光"
"Licht machen","to switch on the light","開燈"
"der Mann, ""-er","man","人"
"mein Gott!","my God!","老天!"
"nachlaufen","to run after, to pursue","追"
"niemand","nobody","沒人"
"plötzlich","suddenly","突然"
"die Polizei","police","警察"
"rufen","to call, to shout","叫"
"schlecht","bad","壞的"
"der Schritt, -e","foot (step","腳步"
"schwer","difficult","困難"
"die Seitenstraße, -n","side street","巷"
"stehenbleiben","to stop","停，立定"
"der Taschendieb, -e","pickpocket","扒手"
"treffen","to meet","遇"
"voll","full","滿的"
"weitergehen","to go on","繼續走"
"weiterlaufen","to go on running","繼續跑"
"die Weste, -n","waistcoat","背心"
"zornig","angry","生氣的"
"zurückgeben","to give back","退還"
"zusammenstoßen","to collide, to bump into","撞"
"Ende gut, alles gut!","All's well that ends well","結局好，一切都好"
"alles","all","全部"
"glücklich","happy","快樂，幸福"
"grün","green","綠，青"
"heimfahren","to go home","回家"
"losfahren","to leave","出發，離開"
"naß","wet","溼的"
"nehmen:sich eine Frau nehmen","to take: to take a wife","帶，拿"
"der Wald, ""-er","wood","林子"
"wissen","to know","知道"
"die Abfahrt","departure","啟程，出發"
"ändern","to change, to alter","改變"
"betrachten","to look at, to consider","考慮，觀察"
"der Genitiv","genitive","屬格，所有格"
"das Imperfekt","past tense","過去式"
"kennen","to know","認識"
"die Konjugation, -en","conjugation","動詞變化"
"das Präteritum","past tense","過去式"
"schwach","weak","弱的"
"warten","to wait","等待"
"wessen?","whose?","誰的"
"Morgengymnastik im Pundfunk","Morning Exercises on the Radio","廣播中的早操"
"andrehen (das Radio)","to switch on (the radio)","開(收音機)"
"der Arm, -e","arm","臂"
"der Atem","breath","呼吸"
"atmen","to breathe","呼吸"
"ausatmen","to breathe out, to exhale","呼氣"
"auseinander","apart","分開，分散
"auseinanderstellen","to place apart","散置"
"ausstrecken","to stretch (out)","伸出"
"der Bauch, ""-e","stomach","肚子，腹"
"der Bauchmuskel, -n","stomach muscle","腹部肌肉"
"das Bein, -e","leg","腿"
"berühren","to touch","接觸"
"beugen","to bend","彎曲"
"die Brust, ""-e","chest","胸"
"einatmen","to breathe in, to inhale","吸氣"
"der Finger, -","finger","手指"
"das Gelenk, -e","joint (e.g. wrist)","關節"
"genug","enough","足夠"
"gerade","straight, upright","直"
"das Gescht, -en","face","臉"
"gestern","yesterday","昨天"
"die Gymnastik","gymnastics","體操"
"der Hals, ""-e","neck","頸，脖子"
"halten","to hold","保持"
"heben","to lift","抬，舉"
"herum (links herum drehen)","round (to turn round to the left)","(向左)轉"
"der Hörer, -","listener","聽眾"
"der Hörerin, -nen","listener (female)","女聽眾"
"das Knie, -","knee","膝"
"dir Kopf, ""-e","head","頭"
"der Körper, -","body","身體"
"der Kreis, -e","circle","圈"
"der Lautsprecher, -","loudspeaker","擴音器"
"möglichst","as possible","儘可能"
"der Mund, ""-er","mouth","口"
"der Muskel, -n","muscle","肌肉"
"die Nase, -n","nose","鼻"
"nebeneinander","next to each other","並排"
"nun","now","現在"
"der Oberköper, -e","upper part of the body","上身"
"das Ohr, -en","ear","耳"
"der Rücken, -","back","背"
"der Rumpf, ""-e","trunk (of the body)","軀幹"
"der Rundfunk","radio, broadcasting service","廣播"
"die Schulter, -n","shoulder","肩"
"die Seite, -n","side","邊，側"
"senken","to let hang, to lower","垂下"
"senkrecht","vertical","垂直"
"strecken","to stretch","伸展"
"tief","deep, deeply","深"
"waagerecht","horizontal","水平"
"weit","far","廣，遠"
"auf Wiederhören","good-bye","再見！"
"die Zehe, -n","toe","腳趾"
"zurücknehmen","to hold back","收回"
"
